date,series,value
01/04/2011,Exports Ratio,0.242957562
01/07/2011,Exports Ratio,0.224485738
01/10/2011,Exports Ratio,0.230717678
01/01/2012,Exports Ratio,0.254593097
01/04/2012,Exports Ratio,0.235751398
01/07/2012,Exports Ratio,0.272464386
01/10/2012,Exports Ratio,0.207685845
01/01/2013,Exports Ratio,0.243109298
01/04/2013,Exports Ratio,0.229404266
01/07/2013,Exports Ratio,0.25586952
01/10/2013,Exports Ratio,0.237513157
01/01/2014,Exports Ratio,0.262882899
01/04/2014,Exports Ratio,0.231466892
01/07/2014,Exports Ratio,0.228297267
01/10/2014,Exports Ratio,0.221023736
01/01/2015,Exports Ratio,0.214892348
01/04/2015,Exports Ratio,0.200034854
01/07/2015,Exports Ratio,0.197633951
01/10/2015,Exports Ratio,0.183282337
01/01/2016,Exports Ratio,0.19036223
01/04/2016,Exports Ratio,0.187739193
01/07/2016,Exports Ratio,0.186034819
01/10/2016,Exports Ratio,0.180298488
01/01/2017,Exports Ratio,0.194506876
01/04/2017,Exports Ratio,0.182456226
01/07/2017,Exports Ratio,0.180855024
01/10/2017,Exports Ratio,0.178246626
01/01/2018,Exports Ratio,0.186247884
01/04/2018,Exports Ratio,0.186935279
01/07/2018,Exports Ratio,0.189748669
01/10/2018,Exports Ratio,0.204768506
01/01/2019,Exports Ratio,0.199565236
01/04/2019,Exports Ratio,0.191174735
01/07/2019,Exports Ratio,0.180569657
01/10/2019,Exports Ratio,0.187185833
01/01/2020,Exports Ratio,0.238952101
01/04/2020,Exports Ratio,0.158400697
01/07/2020,Exports Ratio,0.169594108
01/10/2020,Exports Ratio,0.166484416
01/01/2021,Exports Ratio,0.206369276
01/04/2021,Exports Ratio,0.200512949
01/07/2021,Exports Ratio,0.195544991
01/10/2021,Exports Ratio,0.201213555
01/01/2022,Exports Ratio,0.214962474
01/04/2022,Exports Ratio,0.226212336
01/04/2011,Imports Ratio,0.308570621
01/07/2011,Imports Ratio,0.283714171
01/10/2011,Imports Ratio,0.297630059
01/01/2012,Imports Ratio,0.316704332
01/04/2012,Imports Ratio,0.303725766
01/07/2012,Imports Ratio,0.31549352
01/10/2012,Imports Ratio,0.293067812
01/01/2013,Imports Ratio,0.307874639
01/04/2013,Imports Ratio,0.286041176
01/07/2013,Imports Ratio,0.283351579
01/10/2013,Imports Ratio,0.256060509
01/01/2014,Imports Ratio,0.278612839
01/04/2014,Imports Ratio,0.262154971
01/07/2014,Imports Ratio,0.264006501
01/10/2014,Imports Ratio,0.252349424
01/01/2015,Imports Ratio,0.233711163
01/04/2015,Imports Ratio,0.225865213
01/07/2015,Imports Ratio,0.228749181
01/10/2015,Imports Ratio,0.205251695
01/01/2016,Imports Ratio,0.201412752
01/04/2016,Imports Ratio,0.202522176
01/07/2016,Imports Ratio,0.20670267
01/10/2016,Imports Ratio,0.205652857
01/01/2017,Imports Ratio,0.202415239
01/04/2017,Imports Ratio,0.219501902
01/07/2017,Imports Ratio,0.202239157
01/10/2017,Imports Ratio,0.211580498
01/01/2018,Imports Ratio,0.216940441
01/04/2018,Imports Ratio,0.227044188
01/07/2018,Imports Ratio,0.233776242
01/10/2018,Imports Ratio,0.247475403
01/01/2019,Imports Ratio,0.220677244
01/04/2019,Imports Ratio,0.229528222
01/07/2019,Imports Ratio,0.206488408
01/10/2019,Imports Ratio,0.207086675
01/01/2020,Imports Ratio,0.263546282
01/04/2020,Imports Ratio,0.14208333
01/07/2020,Imports Ratio,0.160308843
01/10/2020,Imports Ratio,0.180072975
01/01/2021,Imports Ratio,0.230795479
01/04/2021,Imports Ratio,0.205879521
01/07/2021,Imports Ratio,0.21672124
01/10/2021,Imports Ratio,0.237311071
01/01/2022,Imports Ratio,0.244438569
01/04/2022,Imports Ratio,0.279356219
